Compiling 2 TensorCircuit layers...
[Epoch 240/500][train LL: -8.80; val LL: -9.78] 
[Epoch 241/500][train LL: -8.80; val LL: -9.78] 
[Epoch 242/500][train LL: -8.79; val LL: -9.78] 
[Epoch 243/500][train LL: -8.78; val LL: -9.78] 
[Epoch 244/500][train LL: -8.78; val LL: -9.78] 
[Epoch 245/500][train LL: -8.77; val LL: -9.78] 
[Epoch 246/500][train LL: -8.77; val LL: -9.78] 
[Epoch 247/500][train LL: -8.76; val LL: -9.77] 
[Epoch 248/500][train LL: -8.76; val LL: -9.77] 
[Epoch 249/500][train LL: -8.75; val LL: -9.77] 
[Epoch 250/500][train LL: -8.75; val LL: -9.77] 
[Epoch 251/500][train LL: -8.74; val LL: -9.77] 
[Epoch 252/500][train LL: -8.74; val LL: -9.77] 
[Epoch 253/500][train LL: -8.73; val LL: -9.77] 
[Epoch 254/500][train LL: -8.73; val LL: -9.77] 
[Epoch 255/500][train LL: -8.72; val LL: -9.77] 
[Epoch 256/500][train LL: -8.72; val LL: -9.77] 
[Epoch 257/500][train LL: -8.71; val LL: -9.77] 
[Epoch 258/500][train LL: -8.71; val LL: -9.77] 
[Epoch 259/500][train LL: -8.70; val LL: -9.77] 
[Epoch 260/500][train LL: -8.70; val LL: -9.77] 
[Epoch 261/500][train LL: -8.69; val LL: -9.77] 
[Epoch 262/500][train LL: -8.69; val LL: -9.77] 
[Epoch 263/500][train LL: -8.68; val LL: -9.77] 
[Epoch 264/500][train LL: -8.68; val LL: -9.77] 
[Epoch 265/500][train LL: -8.67; val LL: -9.77] 
[Epoch 266/500][train LL: -8.67; val LL: -9.77] 
[Epoch 267/500][train LL: -8.66; val LL: -9.77] 
[Epoch 268/500][train LL: -8.66; val LL: -9.77] 
[Epoch 269/500][train LL: -8.65; val LL: -9.77] 
[Epoch 270/500][train LL: -8.65; val LL: -9.77] 
[Epoch 271/500][train LL: -8.64; val LL: -9.77] 
[Epoch 272/500][train LL: -8.64; val LL: -9.77] 
[Epoch 273/500][train LL: -8.64; val LL: -9.77] 
[Epoch 274/500][train LL: -8.63; val LL: -9.77] 
[Epoch 275/500][train LL: -8.63; val LL: -9.77] 
[Epoch 276/500][train LL: -8.62; val LL: -9.77] 
[Epoch 277/500][train LL: -8.62; val LL: -9.77] 
[Epoch 278/500][train LL: -8.61; val LL: -9.77] 
[Epoch 279/500][train LL: -8.61; val LL: -9.77] 
[Epoch 280/500][train LL: -8.61; val LL: -9.77] 
[Epoch 281/500][train LL: -8.60; val LL: -9.77] 
[Epoch 282/500][train LL: -8.60; val LL: -9.77] 
[Epoch 283/500][train LL: -8.59; val LL: -9.77] 
[Epoch 284/500][train LL: -8.59; val LL: -9.78] 
[Epoch 285/500][train LL: -8.59; val LL: -9.78] 
[Epoch 286/500][train LL: -8.58; val LL: -9.78] 
[Epoch 287/500][train LL: -8.58; val LL: -9.78] 
[Epoch 288/500][train LL: -8.57; val LL: -9.78] 
[Epoch 289/500][train LL: -8.57; val LL: -9.78] 
[Epoch 290/500][train LL: -8.57; val LL: -9.78] 
[Epoch 291/500][train LL: -8.56; val LL: -9.78] 
[Epoch 292/500][train LL: -8.56; val LL: -9.78] 
[Epoch 293/500][train LL: -8.56; val LL: -9.78] 
[Epoch 294/500][train LL: -8.55; val LL: -9.78] 
[Epoch 295/500][train LL: -8.55; val LL: -9.78] 
[Epoch 296/500][train LL: -8.55; val LL: -9.78] 
[Epoch 297/500][train LL: -8.54; val LL: -9.78] 
[Epoch 298/500][train LL: -8.54; val LL: -9.78] 
[Epoch 299/500][train LL: -8.53; val LL: -9.78] 
[Epoch 300/500][train LL: -8.53; val LL: -9.79] 
[Epoch 301/500][train LL: -8.53; val LL: -9.79] 
[Epoch 302/500][train LL: -8.52; val LL: -9.79] 
[Epoch 303/500][train LL: -8.52; val LL: -9.79] 
[Epoch 304/500][train LL: -8.52; val LL: -9.79] 
[Epoch 305/500][train LL: -8.51; val LL: -9.79] 
[Epoch 306/500][train LL: -8.51; val LL: -9.79] 
[Epoch 307/500][train LL: -8.51; val LL: -9.79] 
[Epoch 308/500][train LL: -8.50; val LL: -9.79] 
[Epoch 309/500][train LL: -8.50; val LL: -9.79] 
[Epoch 310/500][train LL: -8.50; val LL: -9.79] 
[Epoch 311/500][train LL: -8.50; val LL: -9.80] 
[Epoch 312/500][train LL: -8.49; val LL: -9.80] 
[Epoch 313/500][train LL: -8.49; val LL: -9.80] 
[Epoch 314/500][train LL: -8.49; val LL: -9.80] 
[Epoch 315/500][train LL: -8.48; val LL: -9.80] 
[Epoch 316/500][train LL: -8.48; val LL: -9.80] 
[Epoch 317/500][train LL: -8.48; val LL: -9.80] 
[Epoch 318/500][train LL: -8.47; val LL: -9.80] 
[Epoch 319/500][train LL: -8.47; val LL: -9.80] 
[Epoch 320/500][train LL: -8.47; val LL: -9.80] 
[Epoch 321/500][train LL: -8.47; val LL: -9.81] 
[Epoch 322/500][train LL: -8.46; val LL: -9.81] 
[Epoch 323/500][train LL: -8.46; val LL: -9.81] 
[Epoch 324/500][train LL: -8.46; val LL: -9.81] 
[Epoch 325/500][train LL: -8.45; val LL: -9.81] 
[Epoch 326/500][train LL: -8.45; val LL: -9.81] 
[Epoch 327/500][train LL: -8.45; val LL: -9.81] 
[Epoch 328/500][train LL: -8.45; val LL: -9.81] 
[Epoch 329/500][train LL: -8.44; val LL: -9.81] 
[Epoch 330/500][train LL: -8.44; val LL: -9.82] 
[Epoch 331/500][train LL: -8.44; val LL: -9.82] 
[Epoch 332/500][train LL: -8.44; val LL: -9.82] 
[Epoch 333/500][train LL: -8.43; val LL: -9.82] 
[Epoch 334/500][train LL: -8.43; val LL: -9.82] 
[Epoch 335/500][train LL: -8.43; val LL: -9.82] 
[Epoch 336/500][train LL: -8.43; val LL: -9.82] 
[Epoch 337/500][train LL: -8.42; val LL: -9.82] 
[Epoch 338/500][train LL: -8.42; val LL: -9.82] 
[Epoch 339/500][train LL: -8.42; val LL: -9.83] 
[Epoch 340/500][train LL: -8.42; val LL: -9.83] 
[Epoch 341/500][train LL: -8.41; val LL: -9.83] 
[Epoch 342/500][train LL: -8.41; val LL: -9.83] 
[Epoch 343/500][train LL: -8.41; val LL: -9.83] 
[Epoch 344/500][train LL: -8.41; val LL: -9.83] 
[Epoch 345/500][train LL: -8.40; val LL: -9.83] 
[Epoch 346/500][train LL: -8.40; val LL: -9.83] 
[Epoch 347/500][train LL: -8.40; val LL: -9.84] 
[Epoch 348/500][train LL: -8.40; val LL: -9.84] 
[Epoch 349/500][train LL: -8.39; val LL: -9.84] 
[Epoch 350/500][train LL: -8.39; val LL: -9.84] 
[Epoch 351/500][train LL: -8.39; val LL: -9.84] 
[Epoch 352/500][train LL: -8.39; val LL: -9.84] 
[Epoch 353/500][train LL: -8.38; val LL: -9.84] 
[Epoch 354/500][train LL: -8.38; val LL: -9.85] 
[Epoch 355/500][train LL: -8.38; val LL: -9.85] 
[Epoch 356/500][train LL: -8.38; val LL: -9.85] 
[Epoch 357/500][train LL: -8.38; val LL: -9.85] 
[Epoch 358/500][train LL: -8.37; val LL: -9.85] 
[Epoch 359/500][train LL: -8.37; val LL: -9.85] 
[Epoch 360/500][train LL: -8.37; val LL: -9.85] 
[Epoch 361/500][train LL: -8.37; val LL: -9.85] 
[Epoch 362/500][train LL: -8.37; val LL: -9.86] 
[Epoch 363/500][train LL: -8.36; val LL: -9.86] 
[Epoch 364/500][train LL: -8.36; val LL: -9.86] 
[Epoch 365/500][train LL: -8.36; val LL: -9.86] 
[Epoch 366/500][train LL: -8.36; val LL: -9.86] 
[Epoch 367/500][train LL: -8.36; val LL: -9.86] 
[Epoch 368/500][train LL: -8.35; val LL: -9.86] 
[Epoch 369/500][train LL: -8.35; val LL: -9.87] 
[Epoch 370/500][train LL: -8.35; val LL: -9.87] 
[Epoch 371/500][train LL: -8.35; val LL: -9.87] 
[Epoch 372/500][train LL: -8.35; val LL: -9.87] 
[Epoch 373/500][train LL: -8.34; val LL: -9.87] 
[Epoch 374/500][train LL: -8.34; val LL: -9.87] 
[Epoch 375/500][train LL: -8.34; val LL: -9.87] 
[Epoch 376/500][train LL: -8.34; val LL: -9.88] 
[Epoch 377/500][train LL: -8.34; val LL: -9.88] 
[Epoch 378/500][train LL: -8.33; val LL: -9.88] 
[Epoch 379/500][train LL: -8.33; val LL: -9.88] 
[Epoch 380/500][train LL: -8.33; val LL: -9.88] 
[Epoch 381/500][train LL: -8.33; val LL: -9.88] 
[Epoch 382/500][train LL: -8.33; val LL: -9.88] 
[Epoch 383/500][train LL: -8.33; val LL: -9.89] 
[Epoch 384/500][train LL: -8.32; val LL: -9.89] 
[Epoch 385/500][train LL: -8.32; val LL: -9.89] 
[Epoch 386/500][train LL: -8.32; val LL: -9.89] 
[Epoch 387/500][train LL: -8.32; val LL: -9.89] 
[Epoch 388/500][train LL: -8.32; val LL: -9.89] 
[Epoch 389/500][train LL: -8.32; val LL: -9.89] 
[Epoch 390/500][train LL: -8.31; val LL: -9.90] 
[Epoch 391/500][train LL: -8.31; val LL: -9.90] 
[Epoch 392/500][train LL: -8.31; val LL: -9.90] 
[Epoch 393/500][train LL: -8.31; val LL: -9.90] 
[Epoch 394/500][train LL: -8.31; val LL: -9.90] 
[Epoch 395/500][train LL: -8.31; val LL: -9.90] 
[Epoch 396/500][train LL: -8.30; val LL: -9.91] 
[Epoch 397/500][train LL: -8.30; val LL: -9.91] 
[Epoch 398/500][train LL: -8.30; val LL: -9.91] 
[Epoch 399/500][train LL: -8.30; val LL: -9.91] 
[Epoch 400/500][train LL: -8.30; val LL: -9.91] 
[Epoch 401/500][train LL: -8.30; val LL: -9.91] 
[Epoch 402/500][train LL: -8.29; val LL: -9.91] 
[Epoch 403/500][train LL: -8.29; val LL: -9.92] 
[Epoch 404/500][train LL: -8.29; val LL: -9.92] 
[Epoch 405/500][train LL: -8.29; val LL: -9.92] 
[Epoch 406/500][train LL: -8.29; val LL: -9.92] 
[Epoch 407/500][train LL: -8.29; val LL: -9.92] 
[Epoch 408/500][train LL: -8.29; val LL: -9.92] 
[Epoch 409/500][train LL: -8.28; val LL: -9.92] 
[Epoch 410/500][train LL: -8.28; val LL: -9.93] 
[Epoch 411/500][train LL: -8.28; val LL: -9.93] 
[Epoch 412/500][train LL: -8.28; val LL: -9.93] 
[Epoch 413/500][train LL: -8.28; val LL: -9.93] 
[Epoch 414/500][train LL: -8.28; val LL: -9.93] 
[Epoch 415/500][train LL: -8.28; val LL: -9.93] 
[Epoch 416/500][train LL: -8.27; val LL: -9.93] 
[Epoch 417/500][train LL: -8.27; val LL: -9.94] 
[Epoch 418/500][train LL: -8.27; val LL: -9.94] 
[Epoch 419/500][train LL: -8.27; val LL: -9.94] 
[Epoch 420/500][train LL: -8.27; val LL: -9.94] 
[Epoch 421/500][train LL: -8.27; val LL: -9.94] 
[Epoch 422/500][train LL: -8.27; val LL: -9.94] 
[Epoch 423/500][train LL: -8.26; val LL: -9.95] 
[Epoch 424/500][train LL: -8.26; val LL: -9.95] 
[Epoch 425/500][train LL: -8.26; val LL: -9.95] 
[Epoch 426/500][train LL: -8.26; val LL: -9.95] 
[Epoch 427/500][train LL: -8.26; val LL: -9.95] 
[Epoch 428/500][train LL: -8.26; val LL: -9.95] 
[Epoch 429/500][train LL: -8.26; val LL: -9.95] 
[Epoch 430/500][train LL: -8.25; val LL: -9.96] 
[Epoch 431/500][train LL: -8.25; val LL: -9.96] 
[Epoch 432/500][train LL: -8.25; val LL: -9.96] 
[Epoch 433/500][train LL: -8.25; val LL: -9.96] 
[Epoch 434/500][train LL: -8.25; val LL: -9.96] 
[Epoch 435/500][train LL: -8.25; val LL: -9.96] 
[Epoch 436/500][train LL: -8.25; val LL: -9.96] 
[Epoch 437/500][train LL: -8.25; val LL: -9.97] 
[Epoch 438/500][train LL: -8.24; val LL: -9.97] 
[Epoch 439/500][train LL: -8.24; val LL: -9.97] 
[Epoch 440/500][train LL: -8.24; val LL: -9.97] 
[Epoch 441/500][train LL: -8.24; val LL: -9.97] 
[Epoch 442/500][train LL: -8.24; val LL: -9.97] 
[Epoch 443/500][train LL: -8.24; val LL: -9.97] 
[Epoch 444/500][train LL: -8.24; val LL: -9.98] 
[Epoch 445/500][train LL: -8.24; val LL: -9.98] 
[Epoch 446/500][train LL: -8.24; val LL: -9.98] 
[Epoch 447/500][train LL: -8.23; val LL: -9.98] 
[Epoch 448/500][train LL: -8.23; val LL: -9.98] 
[Epoch 449/500][train LL: -8.23; val LL: -9.98] 
[Epoch 450/500][train LL: -8.23; val LL: -9.98] 
[Epoch 451/500][train LL: -8.23; val LL: -9.99] 
[Epoch 452/500][train LL: -8.23; val LL: -9.99] 
[Epoch 453/500][train LL: -8.23; val LL: -9.99] 
[Epoch 454/500][train LL: -8.23; val LL: -9.99] 
[Epoch 455/500][train LL: -8.22; val LL: -9.99] 
[Epoch 456/500][train LL: -8.22; val LL: -9.99] 
[Epoch 457/500][train LL: -8.22; val LL: -9.99] 
[Epoch 458/500][train LL: -8.22; val LL: -10.00] 
[Epoch 459/500][train LL: -8.22; val LL: -10.00] 
[Epoch 460/500][train LL: -8.22; val LL: -10.00] 
[Epoch 461/500][train LL: -8.22; val LL: -10.00] 
[Epoch 462/500][train LL: -8.22; val LL: -10.00] 
[Epoch 463/500][train LL: -8.22; val LL: -10.00] 
[Epoch 464/500][train LL: -8.21; val LL: -10.00] 
